employee_id,employee_name,position,password
1,Jacob Kelly,MANAGER,MAN123
2,Dahbin Behk,MANAGER,MAN234
3,Cody Wu,MANAGER,MAN345
4,Oluwole Awotunde,MANAGER,MAN456
5,Paul Taele,MANAGER,MAN567
6,Genghis Khan ,MANAGER,MAN678
7,Elon Musk,MANAGER,MAN789
8,Bob,MANAGER,MAN890
9,Lebron James,CASHIER,CASH123
10,Dr. Shrimp Puerto Rico,CASHIER,CASH234
11,Joe Mama,CASHIER,CASH345
12,Jeffery Epstein,CASHIER,CASH456
13,Jason Derulo,CASHIER,CASH567
14,Will Smith,CASHIER,CASH678
15,Julia Roberts,CASHIER,CASH789
16,Tom Curise,CASHIER,CASH890
17,Jim Carrey,CASHIER,CASH901
18,Michelle Obama,CASHIER,CASH012
19,Santa Claus,CASHIER,CASH124
20,Davy Jones,CASHIER,CASH235
